Month,Close
12/16/2024,26626.46
01/17/2024,27655.96
02/17/2024,28743.32
03/17/2024,29620.5
04/17/2024,29918.4
05/17/2024,31145.8
06/17/2024,30921.61
07/17/2024,32514.94
08/17/2024,31730.49
09/17/2024,31283.72
10/17/2024,33213.13
11/17/2024,33149.35
12/17/2024,34056.83
01/18/2024,35965.02
02/18/2024,34184.04
03/18/2024,32968.68
04/18/2024,35160.36
05/18/2024,35322.38
06/18/2024,35423.48
07/18/2024,37606.58
08/18/2024,38645.07
09/18/2024,36227.14
10/18/2024,34442.05
11/18/2024,36194.3
12/18/2024,36068.33
01/19/2024,36256.69
02/19/2024,35867.44
03/19/2024,38672.91
04/19/2024,39031.55
05/19/2024,39714.2
06/19/2024,39394.64
07/19/2024,37481.12
08/19/2024,37332.79
09/19/2024,38667.33
10/19/2024,40129.05
11/19/2024,40793.81
12/19/2024,41253.74
01/20/2024,40723.49
02/20/2024,38297.29
03/20/2024,29468.49
04/20/2024,33717.62
05/20/2024,32424.1
06/20/2024,34915.8
07/20/2024,37606.89
08/20/2024,38628.29
09/20/2024,38067.93
10/20/2024,39614.07
11/20/2024,44149.72
12/20/2024,47751.33
01/21/2024,46285.77
02/21/2024,49099.99
03/21/2024,49509.15
04/21/2024,48782.36
05/21/2024,51937.44
06/21/2024,52482.71
07/21/2024,52586.84
08/21/2024,57552.39
09/21/2024,59126.36
10/21/2024,59306.93
11/21/2024,57064.87
12/21/2024,58253.82
01/22/2024,58014.17
02/22/2024,56247.28
03/22/2024,58568.51
04/22/2024,57060.87
05/22/2024,55566.41
06/22/2024,53018.94
07/22/2024,57570.25
08/22/2024,59537.07
09/22/2024,57426.92
10/22/2024,60746.59
11/22/2024,63099.65
12/22/2024,60840.74
01/23/2024,59549.9
02/23/2024,58962.12
03/23/2024,58991.52
04/23/2024,61112.44
05/23/2024,62622.24
06/23/2024,64718.56
07/23/2024,66527.67
08/23/2024,64831.41
09/23/2024,65828.41
10/23/2024,63874.93
11/23/2024,66988.44
12/23/2024,72240.26
01/24/2024,71752.11
02/24/2024,72500.3
03/24/2024,73651.35
04/24/2024,74482.78
05/24/2024,73961.31
06/24/2024,79032.73
07/24/2024,81741.34
08/24/2024,80981.95
